Material	PS	D	 Power	 Speed	Hatch 	LT	SS	GF	RD 
1.00	40.80	7.61	100.00	250.00	0.11	0.05	0.20	15.92	95.40
1.00	40.80	7.80	100.00	250.00	0.11	0.05	0.20	15.92	97.70
1.00	40.80	7.49	100.00	250.00	0.11	0.05	0.20	15.92	93.80
1.00	40.80	7.49	100.00	175.00	0.11	0.05	0.20	15.92	93.90
1.00	40.80	7.75	100.00	120.00	0.11	0.05	0.20	15.92	97.14
1.00	40.80	7.64	100.00	120.00	0.11	0.05	0.20	15.92	95.70
1.00	40.80	7.53	100.00	120.00	0.11	0.05	0.20	15.92	94.30
1.00	40.80	7.72	100.00	239.00	0.11	0.05	0.20	15.92	96.80
1.00	40.80	7.37	100.00	239.00	0.12	0.05	0.20	15.92	92.40
1.00	40.80	7.49	100.00	239.00	0.12	0.05	0.20	15.92	93.80
1.00	40.80	7.68	100.00	167.00	0.12	0.05	0.20	15.92	96.20
1.00	40.80	7.67	100.00	167.00	0.12	0.05	0.20	15.92	96.10
1.00	40.80	7.82	100.00	167.00	0.12	0.05	0.20	15.92	98.00
1.00	40.80	7.94	100.00	111.00	0.12	0.05	0.20	15.92	99.45
1.00	40.80	7.72	100.00	111.00	0.12	0.05	0.20	15.92	96.70
1.00	40.80	7.87	100.00	111.00	0.12	0.05	0.20	15.92	98.60
1.00	30.00	7.74	150.00	125.00	0.09	0.05	0.04	3.98	97.00
1.00	30.00	7.84	150.00	150.00	0.09	0.05	0.04	3.98	98.30
1.00	30.00	7.74	150.00	175.00	0.09	0.05	0.04	3.98	97.00
1.00	30.00	7.45	150.00	200.00	0.09	0.05	0.04	3.98	93.30
1.00	35.50	7.83	100.00	1700.00	0.06	0.02	0.05	22.00	98.12
1.00	35.50	7.85	80.00	1500.00	0.04	0.02	0.05	22.00	98.33
1.00	35.50	7.90	80.00	700.00	0.08	0.02	0.05	22.00	99.02
1.00	35.50	7.91	100.00	1500.00	0.04	0.02	0.05	22.00	99.13
1.00	35.50	7.93	100.00	700.00	0.08	0.02	0.05	22.00	99.40
1.00	35.50	7.92	80.00	700.00	0.04	0.02	0.05	22.00	99.21
1.00	35.50	7.85	80.00	300.00	0.08	0.02	0.05	22.00	98.38
1.00	35.50	7.89	100.00	700.00	0.04	0.02	0.05	22.00	98.92
1.00	35.50	7.79	100.00	300.00	0.08	0.02	0.05	22.00	97.63
1.00	35.50	7.77	80.00	300.00	0.04	0.02	0.05	22.00	97.36
1.00	35.50	7.89	100.00	1388.00	0.04	0.02	0.05	22.00	98.92
1.00	35.50	7.91	100.00	925.00	0.06	0.02	0.05	22.00	99.16
1.00	35.50	7.89	100.00	694.00	0.08	0.02	0.05	22.00	98.84
1.00	35.50	7.86	100.00	462.00	0.12	0.02	0.05	22.00	98.46
1.00	35.50	7.92	100.00	1388.00	0.04	0.02	0.05	22.00	99.24
1.00	35.50	7.94	100.00	925.00	0.06	0.02	0.05	22.00	99.52
1.00	35.50	7.94	100.00	694.00	0.08	0.02	0.05	22.00	99.44
1.00	35.50	7.89	100.00	462.00	0.12	0.02	0.05	22.00	98.90
1.00	35.50	7.91	100.00	1388.00	0.04	0.02	0.05	22.00	99.08
1.00	35.50	7.90	100.00	925.00	0.06	0.02	0.05	22.00	99.01
1.00	35.50	7.90	100.00	694.00	0.08	0.02	0.05	22.00	98.98
1.00	35.50	7.81	100.00	462.00	0.12	0.02	0.05	22.00	97.85
1.00	38.00	7.76	100.00	400.00	0.03	0.03	0.09	5.00	97.20
1.00	38.00	7.86	100.00	591.00	0.07	0.03	0.09	5.00	98.50
1.00	38.00	7.79	100.00	600.00	0.08	0.03	0.09	5.00	97.60
1.00	38.00	7.82	100.00	400.00	0.10	0.03	0.09	5.00	98.00
1.00	38.00	7.28	100.00	400.00	0.15	0.03	0.09	5.00	91.20
1.00	46.00	7.64	220.00	960.00	0.08	0.04	0.10	7.00	95.80
1.00	46.00	7.62	220.00	960.00	0.08	0.04	0.10	7.00	95.50
1.00	46.00	7.65	220.00	960.00	0.08	0.04	0.10	7.00	95.90
1.00	46.00	7.60	220.00	960.00	0.08	0.04	0.10	7.00	95.20
1.00	46.00	7.60	220.00	960.00	0.08	0.04	0.10	7.00	95.30
1.00	46.00	7.64	220.00	960.00	0.08	0.04	0.10	7.00	95.80
1.00	46.00	7.64	220.00	960.00	0.08	0.04	0.10	7.00	95.80
1.00	30.00	7.90	150.00	400.00	0.08	0.04	0.07	5.00	99.00
1.00	30.00	7.92	150.00	500.00	0.08	0.04	0.07	5.00	99.30
1.00	30.00	7.84	150.00	600.00	0.08	0.04	0.07	5.00	98.20
1.00	30.00	7.65	150.00	700.00	0.08	0.04	0.07	5.00	95.90
1.00	30.00	7.32	150.00	800.00	0.08	0.04	0.07	5.00	91.70
1.00	36.00	7.97	175.00	668.00	0.12	0.03	0.10	4.00	99.90
1.00	36.00	7.92	175.00	668.00	0.12	0.03	0.10	4.00	99.30
1.00	36.00	7.90	175.00	668.00	0.12	0.03	0.10	4.00	99.00
1.00	36.00	7.82	175.00	668.00	0.12	0.03	0.10	4.00	98.00
1.00	14.63	7.81	200.00	2000.00	0.06	0.03	0.07	3.00	97.92
1.00	14.63	7.74	200.00	2000.00	0.06	0.03	0.07	3.00	97.00
1.00	14.63	7.76	200.00	2000.00	0.06	0.03	0.07	3.00	97.22
1.00	30.37	7.71	150.00	1250.00	0.08	0.03	0.09	10.00	96.57
1.00	30.37	7.77	200.00	1667.00	0.08	0.03	0.09	10.00	97.38
1.00	30.37	7.78	150.00	714.00	0.14	0.03	0.09	10.00	97.46
1.00	30.37	7.77	200.00	952.00	0.14	0.03	0.09	10.00	97.35
1.00	30.37	7.88	150.00	750.00	0.12	0.03	0.09	10.00	98.72
